Column1;fx;fy;fz;area;perimeter;nb_neighbor;aniso
12;2.263320375;69.14873490000001;2.395678125;12.763857447197116;15.623510243432138;4.0;1.9332777264183978
29;2.779013625;84.64818202500001;4.17969375;14.707074968358747;17.091858156757404;4.0;2.1603549020353072
56;2.88329826;73.02216419999999;2.6505375;13.823894566825098;16.509418232242197;5.0;2.173141450977507
8;3.03686025;63.6556468;2.41266875;15.74809807223456;18.040236217709385;6.0;2.501256054510822
21;3.2011181;78.79410865;3.56803125;17.22679408636393;17.82621947695739;6.0;2.0547327276996596
50;3.40128348;55.63986372000001;2.93598;20.56289794542834;21.22213689797023;5.0;2.553282979955877
55;3.4073954000000004;99.7541743;8.155500000000002;22.85230583261467;20.286172440485423;3.0;1.987772805351073
31;3.58464108;42.45645228;6.19818;33.340495391880985;24.25107976932954;5.0;1.873296583534856
40;3.6121447200000008;49.112333160000006;3.996195;20.288464376464763;20.201794825716163;5.0;2.56273032755521
58;3.8505096;89.80855248;5.015632500000001;15.026714987923574;17.137685590836004;5.0;2.4193732427712544
57;3.96052416;36.87321336;9.032216250000001;36.61932268647984;24.84871145149456;5.0;1.862231584048547
63;4.337553225000001;26.856158475;17.8146703125;28.930468221754975;21.152252903189495;4.0;1.4164630890908412
46;4.533516660000001;30.973682580000002;13.762406250000002;35.72812521311448;24.571782291099993;5.0;1.9408448538474758
52;4.557746057142857;68.79511667142857;2.4175232142857146;13.099204977271558;14.871338869039631;7.0;1.8407410229032324
42;4.638947280000001;98.07798024000002;8.298221250000001;13.155560208338837;17.01288818535922;5.0;2.9022928808673276
5;4.826888820000001;57.161731800000005;2.95636875;14.752228112973597;17.982958145420856;5.0;2.645302270173806
2;4.9735749;62.66627975;2.44665;13.111578258798426;16.659488445602076;6.0;2.3867605792317996
45;5.0958133000000005;94.78441935000001;6.983146875;11.959325250817054;16.01022273519824;6.0;2.445827552831486
11;5.3861295;74.21780855;2.7185;17.023703429891853;17.16052202935027;6.0;1.9877271898332582
14;5.6124615375;84.774240375;4.2561515625;29.812991468969297;23.204312112469058;8.0;2.1227607509852486
13;5.89418285;79.52753905;3.36414375;15.588573385769907;15.874422030682346;6.0;1.669848093607734
69;5.9132826;24.592838099999998;22.7674375;30.360061666960846;23.777983720573157;3.0;2.317463799593431
1;5.919012525;66.31815195;2.3447062499999998;9.816694533542812;13.960850383101995;4.0;2.266929654280683
68;5.94766215;109.65930465;13.176229687500001;28.868664087458907;21.74747321758063;4.0;1.8432175902406767
28;5.97287382;43.432831500000006;6.5651775;24.033249706784115;21.539595181354954;5.0;2.2051137188154493
23;6.5005999125;49.856077425;4.5110109375;23.423197685717298;22.18034536287493;8.0;2.5953836094481173
37;6.5521692375;104.9263866;12.386165625;49.13241451791651;33.281338584164764;8.0;3.0209544133465154
19;6.7001923;92.26707230000001;5.8787562499999995;16.368736591891036;16.74854011535688;6.0;1.9304670275461546
48;7.018012140000001;100.1132496;10.25554125;12.11869078654345;19.131401589433583;5.0;4.090076258106676
67;7.07072745;114.615689775;16.973634375;37.41207921928715;23.40731641694809;4.0;1.1635900533058001
7;7.0745474;56.76063705000001;2.8544250000000004;14.981090161333464;18.537101019140124;6.0;2.8993021032777326
35;7.20060575;37.55392845;10.143403125;20.01753656944275;20.515240864984875;6.0;2.434138718246948
36;7.271274825000001;81.966577125;3.619003125;2.4453477203132525;6.651636291496225;4.0;2.0435488696572377
61;7.708659100000001;27.01850635;20.983421875;41.1553605559112;30.02280847836913;6.0;2.9096869360894555
3;7.7774182000000005;62.9909755;2.1408187499999998;24.003562213225603;20.397849375267164;6.0;1.9310617663389928
38;7.907296500000001;32.38171615;14.696890625;30.498443923046253;26.177881586533992;6.0;2.8608010050685673
24;8.0448147;74.79156504;2.2427625;17.35830881835651;17.513419943433576;5.0;1.9490535607479542
20;8.20907255;98.25293395000001;9.2429;18.818520030385038;21.326106458237483;6.0;3.054239913448889
4;8.4573693;69.3091728;2.089846875;21.29612398709964;17.158277261038442;8.0;1.2953371364743256
30;8.795434875;46.46969175;5.5049624999999995;14.570290836556724;18.840271379357112;4.0;3.3336293775520875
22;8.804984750000001;88.23702505;4.11173125;21.972931612139426;20.114567896213106;6.0;2.1117434733319427
66;8.862284;116.11884010000001;20.5926375;25.126777914073706;21.018954708928838;3.0;2.020018306629407
43;8.8775638;41.026263;8.2234625;22.49043792785648;22.852428265321155;6.0;3.164678912935933
65;8.9310431;112.61594595000001;18.17996875;31.656043454483896;25.718901761312395;6.0;2.5602643570107175
60;9.28629845;78.40447375000001;2.5146125;21.917447988516656;18.610426450871582;6.0;1.5794782547653559
15;9.60717425;82.23206365;2.9223874999999997;21.16463678141261;18.734320838879334;6.0;1.6726948583668204
32;9.6568336;104.98750580000001;14.153190625;13.288689714660645;18.455297921311896;6.0;3.4676547953804175
9;9.721227042857143;50.65581124285715;3.597158035714286;26.626576487082765;22.11425685846218;7.0;2.154976451970627
53;9.9165902;94.7576797;6.932175000000001;21.856704810270077;20.32366247931409;6.0;2.413863963385724
51;9.9929892;57.65679732000001;2.12043;27.699930145087446;21.03841679803446;5.0;1.5866968040310874
62;10.694332020000001;110.62880795999999;19.18581375;30.155940676930697;26.186628107944347;5.0;3.425947610964882
47;10.735587480000001;28.03996098;21.42857625;20.709956618372804;23.317568518583066;5.0;3.832598965307353
25;11.188087842857144;102.09744077142857;11.854601785714285;19.080202720080422;20.62695790797968;7.0;3.066386260349254
17;11.207733300000001;33.5315211;14.1956671875;31.884846955887674;27.682052927945133;8.0;3.293325958234873
10;11.25815664;64.12015272000001;1.8349875;23.654257476906242;19.60995689411599;5.0;1.7821645477146095
16;11.284132300000001;41.8055328;7.271987500000001;25.94511780906278;23.06831323699474;6.0;2.485713792451369
27;11.711966700000001;108.14889642;17.63626875;15.777645261406656;21.621540940411407;5.0;4.489792836264195
18;11.74634625;73.28574075;1.93693125;18.028436112477902;16.286688459003948;6.0;1.2127905269909904
64;11.76697398;90.50072742;4.2816375;21.261214494751695;18.125075940965797;5.0;1.3689174174703225
33;12.179528580000001;84.54618936;2.5689824999999997;29.624985450682296;21.395456144021708;5.0;1.5840060875761888
6;12.267769425000001;68.982567075;1.93693125;23.385496640210164;18.23442132184723;4.0;1.1201523215454467
41;12.86941155;27.996413550000003;21.3317296875;29.1151674138132;23.623326303644284;4.0;3.362113310910812
70;12.9725502;96.21690060000002;7.475874999999999;24.971680177129244;21.856644743216723;6.0;2.450332980284011
54;13.001199825;43.988634225;5.5304484375000005;45.19909434184362;27.674917205983526;4.0;1.5289232715124828
59;13.123820219999999;78.16534487999999;1.95732;19.43741437366719;17.057131357691553;5.0;1.341753711744742
44;13.4844235;108.41018100000001;17.381409375;46.313808468143485;36.15377420195533;6.0;4.86048842140193
39;13.527206940000003;103.05613908000001;12.1924725;25.19884223353633;23.1711738239979;5.0;2.639120423829867
34;13.811411220000002;36.85029366;10.235152500000002;34.886850983230566;24.61367245542985;5.0;1.9699605492758154
26;13.986746925;31.016084025000005;16.5913453125;28.0387275491573;23.526287857900314;4.0;2.3203312928453146
49;14.5998489;99.12770250000001;9.310862499999999;23.68514723981406;22.404001325535035;3.0;2.3301234389559946
