,res,diameter,aniso_cell,area,c_perimeter,volume,center_diameter,l,b
0,True,28.246851078313618,1.3609343416800763,0.7476289266522239,3.3002034235233677,2809.611330824687,"vert
0       4528.622949
1       2887.169845
2       2748.635565
3       3108.746148
4       4311.737699
           ...     
3295    2772.648728
3296    3010.018585
3297    2839.904386
3298    1579.882856
3299    1989.422623
Length: 3300, dtype: float64",1e-06,0.001
1,True,28.39220941532114,1.3895249137663694,0.7512309889462493,3.313449519848307,2931.401146852043,"vert
0       4686.722826
1       3211.807164
2       3042.450178
3       3340.885287
4       4665.564488
           ...     
3295    2894.442549
3296    3021.009821
3297    2819.925303
3298    1708.795498
3299    2197.102591
Length: 3300, dtype: float64",1.8478497974222906e-06,0.001
2,False,28.479617384649167,1.4497975367154075,0.7631246338285211,3.3526112220708826,3170.574612575862,"vert
0       5422.470939
1       3915.908706
2       3930.589482
3       4259.914972
4       5254.210749
           ...     
3295    3305.370603
3296    3093.819985
3297    2852.811920
3298    1981.608036
3299    2517.200374
Length: 3300, dtype: float64",3.414548873833601e-06,0.001
3,True,28.785280949446886,1.4818376522346657,0.779684462483543,3.3959098665358853,3374.415261198994,"vert
0       5314.164185
1       4309.500962
2       4625.764470
3       4654.551125
4       5420.714182
           ...     
3295    3395.046739
3296    3360.796398
3297    3195.245821
3298    2167.232107
3299    2670.259164
Length: 3300, dtype: float64",6.30957344480193e-06,0.001
4,True,29.140404023763786,1.5588364650421682,0.7979603094734571,3.4563298074935425,3688.193712807782,"vert
0       6053.806137
1       5332.686763
2       5464.435277
3       5547.029788
4       5998.468999
           ...     
3295    4042.999143
3296    3831.597571
3297    3575.295864
3298    2712.608572
3299    3388.252561
Length: 3300, dtype: float64",1.165914401179831e-05,0.001
5,True,29.576644070167845,1.6124400849773661,0.8387126486322679,3.5592084731173412,4093.069413026915,"vert
0       6791.091274
1       6517.862157
2       6585.137536
3       6627.957220
4       6787.952571
           ...     
3295    4776.709402
3296    4615.205124
3297    4288.467138
3298    3349.154277
3299    4134.293870
Length: 3300, dtype: float64",2.1544346900318823e-05,0.001
6,True,29.937707602434635,1.65981754958116,0.8881023803018341,3.6769685658479405,4516.458521208513,"vert
0       8187.046722
1       8127.496862
2       8185.484016
3       8193.356830
4       8197.800276
           ...     
3295    5643.844625
3296    5477.990459
3297    5033.361554
3298    4013.833760
3299    4982.371471
Length: 3300, dtype: float64",3.9810717055349695e-05,0.001
7,True,30.284730929119707,1.6862531389241326,0.9263136726917908,3.7644712407176497,4866.409052811486,"vert
0       9211.003072
1       9274.673170
2       9253.290223
3       9283.678564
4       9230.947573
           ...     
3295    6400.429727
3296    6229.240823
3297    5727.835700
3298    4612.876505
3299    5690.662855
Length: 3300, dtype: float64",7.356422544596421e-05,0.001
8,True,30.605888503766636,1.7072521263315525,0.9570073278116827,3.8333863268045336,5152.146263957716,"vert
0       10129.933935
1       10231.125548
2       10176.768527
3       10210.944411
4       10128.466035
            ...     
3295     7041.351993
3296     6876.555172
3297     6306.967819
3298     5106.182602
3299     6287.204345
Length: 3300, dtype: float64",0.00013593563908785255,0.001
9,True,30.81065957822571,1.723948227553765,0.9750998215067945,3.8749570565111386,5324.062380783455,"vert
0       10637.566451
1       10822.389903
2       10708.374165
3       10731.752775
4       10679.147349
            ...     
3295     7408.771904
3296     7258.148158
3297     6657.046749
3298     5412.850119
3299     6650.911369
Length: 3300, dtype: float64",0.00025118864315095795,0.001
10,True,30.846941215871233,1.726904822533149,0.9895762128457462,3.905576847269789,5452.40754566221,"vert
0       11209.944049
1       11351.884531
2       11278.956429
3       11333.013932
4       11176.971816
            ...     
3295     7778.340155
3296     7620.350525
3297     6971.115004
3298     5692.682961
3299     6992.901403
Length: 3300, dtype: float64",0.00046415888336127773,0.001
11,True,30.83246099222862,1.7325919602934488,0.9971816040780105,3.9224993357008375,5518.336692171108,"vert
0       11507.028826
1       11660.242670
2       11594.390233
3       11651.599902
4       11483.889915
            ...     
3295     7955.271013
3296     7777.487750
3297     7107.817886
3298     5837.411553
3299     7172.919125
Length: 3300, dtype: float64",0.0008576958985908938,0.001
12,True,30.762237358737316,1.7383674899898052,1.0021084858758842,3.933987072733194,5555.59862171198,"vert
0       11707.296744
1       11926.152133
2       11860.819108
3       11892.550401
4       11727.168983
            ...     
3295     8096.632315
3296     7870.675728
3297     7181.497115
3298     5935.959560
3299     7295.533742
Length: 3300, dtype: float64",0.001584893192461114,0.001
13,True,31.056057081817315,1.7383944904419077,1.001558494583405,3.9325663110505102,5575.0675307698575,"vert
0       11541.517678
1       11764.291784
2       11627.346425
3       11661.204570
4       11542.855619
            ...     
3295     8030.686971
3296     7904.305134
3297     7240.105734
3298     5900.711233
3299     7243.855242
Length: 3300, dtype: float64",0.0029286445646252374,0.001
14,True,30.71463655127357,1.7453074032621734,1.0042883521130483,3.9407919338607313,5586.848923426202,"vert
0       11865.509142
1       12106.809979
2       12002.462478
3       12030.861215
4       11891.151467
            ...     
3295     8174.968986
3296     7968.953575
3297     7270.020996
3298     6009.876076
3299     7394.527177
Length: 3300, dtype: float64",0.0054116952654646375,0.001
15,True,30.726543872763354,1.7434980964068383,1.0059527687136842,3.9433677981046564,5593.255680931673,"vert
0       11916.835800
1       12120.858396
2       12049.305516
3       12074.988507
4       11928.475680
            ...     
3295     8203.730072
3296     7976.119547
3297     7271.286903
3298     6016.058774
3299     7401.591507
Length: 3300, dtype: float64",0.01,0.001
16,True,28.01563401573963,1.4690619748126077,0.743905545772254,3.3176425685187554,3038.0563191874303,"vert
0       5087.960001
1       3949.040890
2       4006.300697
3       4122.180451
4       4832.361731
           ...     
3295    2984.529859
3296    3296.211601
3297    2936.201490
3298    1939.942912
3299    2460.275764
Length: 3300, dtype: float64",1e-06,0.001584893192461114
17,True,28.113608054943704,1.3891180531360574,0.7506912554270201,3.3120129321064824,2911.391803494199,"vert
0       4689.054198
1       3181.027171
2       3021.817338
3       3336.410086
4       4625.827433
           ...     
3295    2885.705015
3296    3160.201557
3297    2900.321759
3298    1727.272903
3299    2180.041233
Length: 3300, dtype: float64",1.8478497974222906e-06,0.001584893192461114
18,True,28.61521168032929,1.4931064509171121,0.7613661173370362,3.359769767324143,3280.3861367144023,"vert
0       5324.383740
1       4204.296078
2       4327.496111
3       4447.289557
4       5202.135879
           ...     
3295    3411.965994
3296    3158.843599
3297    2989.055946
3298    2145.860390
3299    2675.115619
Length: 3300, dtype: float64",3.414548873833601e-06,0.001584893192461114
19,True,28.724713256294088,1.535931018122683,0.7786936945619235,3.4085841905014234,3475.2000658353354,"vert
0       5597.039947
1       4907.778792
2       4988.593809
3       5056.210342
4       5662.026828
           ...     
3295    3720.918821
3296    3642.981171
3297    3345.866716
3298    2486.380138
3299    3084.264526
Length: 3300, dtype: float64",6.30957344480193e-06,0.001584893192461114
20,True,28.98065594871649,1.5746460121206018,0.8000475889106822,3.465524570337029,3711.2296676186356,"vert
0       5994.511724
1       5633.416254
2       5703.321300
3       5709.152521
4       6078.926546
           ...     
3295    4076.077535
3296    3989.987517
3297    3690.811268
3298    2823.730383
3299    3483.924444
Length: 3300, dtype: float64",1.165914401179831e-05,0.001584893192461114
21,True,29.42878525058577,1.6125625351641988,0.8372238863849705,3.5558522017115304,4074.3460886557627,"vert
0       6757.791507
1       6474.816172
2       6547.228294
3       6589.208243
4       6771.602270
           ...     
3295    4744.099254
3296    4597.333294
3297    4289.114954
3298    3344.854397
3299    4098.305964
Length: 3300, dtype: float64",2.1544346900318823e-05,0.001584893192461114
22,True,29.867410941470162,1.658410657786205,0.8856311174208208,3.671742280046859,4500.707979993082,"vert
0       8064.340913
1       8063.606807
2       8066.168363
3       8082.224315
4       8122.449180
           ...     
3295    5633.488483
3296    5458.947004
3297    5036.096587
3298    4030.164556
3299    4950.567426
Length: 3300, dtype: float64",3.9810717055349695e-05,0.001584893192461114
23,True,30.233958818735495,1.6865711070853062,0.9259273022567828,3.763642750820077,4859.312736154932,"vert
0       9220.127206
1       9257.975477
2       9248.083803
3       9281.158405
4       9228.917278
           ...     
3295    6407.721709
3296    6235.713214
3297    5726.074116
3298    4616.817005
3299    5687.139908
Length: 3300, dtype: float64",7.356422544596421e-05,0.001584893192461114
24,True,30.55399976327581,1.707549952897807,0.9572090475120661,3.833990909166318,5150.82603727617,"vert
0       10135.763767
1       10257.036020
2       10198.958903
3       10229.167406
4       10142.892772
            ...     
3295     7050.450954
3296     6893.620713
3297     6324.483591
3298     5125.262374
3299     6303.907627
Length: 3300, dtype: float64",0.00013593563908785255,0.001584893192461114
25,True,30.692507893661073,1.7211009559916073,0.9778515821233811,3.8800463960078746,5339.542402061756,"vert
0       10855.798310
1       10962.110278
2       10899.391477
3       10948.287055
4       10817.785372
            ...     
3295     7523.633499
3296     7366.269965
3297     6742.655405
3298     5497.923440
3299     6750.850160
Length: 3300, dtype: float64",0.00025118864315095795,0.001584893192461114
26,True,30.84978161689697,1.7285536097025398,0.9893798506463349,3.9054325349849446,5451.817968019663,"vert
0       11189.714450
1       11338.634482
2       11262.701414
3       11309.500029
4       11171.987105
            ...     
3295     7769.982363
3296     7622.802689
3297     6974.346231
3298     5692.532574
3299     6976.606750
Length: 3300, dtype: float64",0.00046415888336127773,0.001584893192461114
